wrkstat,partyid,polviews,happy,rincome,born,race,sex,degree,age,marital,hrs1,pres12
Working fulltime,Not str republican,Slghtly conservative,Very happy,$25000 or more,Yes,White,Male,High school,40,Married,38,Not applicable
Keeping house,Independent,Conservative,Pretty happy,Not applicable,Yes,White,Female,High school,27,Never married,Not applicable,Not applicable
Other,Strong democrat,Extremely liberal,Pretty happy,Not applicable,Yes,White,Female,High school,57,Married,Not applicable,Obama
Working fulltime,Not str democrat,Slightly liberal,Not too happy,$25000 or more,Yes,Black,Male,High school,27,Never married,55,Obama
Working parttime,"Ind,near dem",Slightly liberal,Pretty happy,$15000 - 19999,Yes,White,Female,Junior college,66,Divorced,34,Not applicable
Retired,Strong democrat,Moderate,Pretty happy,Not applicable,Yes,Black,Female,High school,74,Married,Not applicable,Obama
Working fulltime,Independent,Moderate,Very happy,$25000 or more,Yes,White,Female,High school,57,Divorced,43,Obama
Working parttime,Strong democrat,Slightly liberal,Pretty happy,$15000 - 19999,Yes,White,Female,High school,27,Never married,22,Not applicable
"Unempl, laid off",Independent,Moderate,Pretty happy,$10000 - 14999,No,Other,Female,High school,28,Married,Not applicable,Not applicable
Working fulltime,"Ind,near dem",Slghtly conservative,Pretty happy,$1000 to 2999,Yes,Other,Female,High school,33,Never married,40,Obama
Working fulltime,Not str democrat,Moderate,Very happy,$25000 or more,No,Other,Male,Graduate,39,Married,50,Not applicable
Working fulltime,"Ind,near dem",Slightly liberal,Pretty happy,$20000 - 24999,Yes,White,Male,Bachelor,27,Never married,42,Other candidate (specify)
Working fulltime,Independent,Moderate,Pretty happy,$5000 to 5999,No,Other,Male,Graduate,34,Never married,40,Not applicable
Working fulltime,"Ind,near rep",Slghtly conservative,Pretty happy,$25000 or more,Yes,White,Male,High school,28,Never married,70,Romney
Working fulltime,"Ind,near dem",Moderate,Pretty happy,$25000 or more,Yes,Black,Male,Bachelor,50,Never married,35,Obama
Working fulltime,Not str democrat,Slightly liberal,Very happy,$25000 or more,Yes,Black,Male,High school,30,Married,40,Not applicable
Retired,Not str republican,Conservative,Pretty happy,Not applicable,Yes,White,Female,High school,68,Divorced,Not applicable,Not applicable
Retired,Not str democrat,Slghtly conservative,Very happy,Not applicable,No,White,Female,Lt high school,70,Married,Not applicable,Not applicable
Keeping house,Strong democrat,Liberal,Not too happy,Not applicable,Yes,Black,Male,High school,55,Divorced,Not applicable,Obama
Keeping house,Strong democrat,Moderate,Not too happy,$25000 or more,Yes,Black,Male,High school,59,Divorced,Not applicable,Not applicable
Working fulltime,Strong democrat,Moderate,Not too happy,$20000 - 24999,Yes,Black,Female,High school,60,Separated,40,Obama
Working fulltime,Independent,Conservative,Very happy,Not applicable,Yes,Black,Female,High school,19,Never married,40,Not applicable
School,Other party,Conservative,Very happy,Not applicable,No,Other,Male,Lt high school,19,Never married,Not applicable,Not applicable
Working fulltime,Independent,Don't know,Not too happy,$20000 - 24999,No,Black,Female,High school,48,Married,36,Obama
Working fulltime,Not str democrat,Liberal,Pretty happy,$25000 or more,Yes,Black,Male,High school,27,Married,40,Obama
Working fulltime,"Ind,near dem",Conservative,Pretty happy,Not applicable,Yes,White,Female,High school,33,Married,30,Not applicable
Retired,Not str republican,Extremely liberal,Pretty happy,Not applicable,Yes,Black,Male,Lt high school,79,Widowed,Not applicable,Not applicable
Working fulltime,Independent,Moderate,Very happy,$20000 - 24999,Yes,Black,Male,Lt high school,56,Separated,40,Not applicable
Keeping house,Independent,Moderate,Not too happy,$25000 or more,No,White,Male,Lt high school,53,Married,Not applicable,Not applicable
Working parttime,Other party,Extremely liberal,Pretty happy,$6000 to 6999,Yes,Other,Male,High school,32,Never married,8,Not applicable
Working fulltime,Not str democrat,Liberal,Pretty happy,Not applicable,Yes,Black,Male,High school,21,Never married,40,Not applicable
Working fulltime,Strong democrat,Slghtly conservative,Pretty happy,$25000 or more,No,White,Male,Lt high school,42,Married,84,Not applicable
Working fulltime,Strong democrat,Moderate,Not too happy,$15000 - 19999,Yes,Black,Female,High school,28,Never married,40,No answer
Working parttime,Independent,Don't know,Not too happy,$4000 to 4999,No,White,Female,Lt high school,22,Separated,25,Not applicable
Working fulltime,"Ind,near rep",Slghtly conservative,Pretty happy,$25000 or more,No,Other,Male,High school,40,Married,40,5
Working fulltime,Independent,Moderate,Not too happy,Not applicable,Yes,White,Male,Lt high school,44,Never married,84,Not applicable
School,Strong democrat,Moderate,Very happy,$20000 - 24999,Yes,White,Male,Junior college,22,Never married,Not applicable,Not applicable
School,"Ind,near dem",Moderate,Pretty happy,Not applicable,No,Other,Female,Graduate,35,Married,Not applicable,Not applicable
Retired,Not str republican,Moderate,Pretty happy,Not applicable,Yes,White,Female,High school,64,Married,Not applicable,Romney
Working fulltime,Strong republican,Slghtly conservative,Pretty happy,$25000 or more,Yes,Black,Female,Bachelor,40,Divorced,1,Romney
Working fulltime,"Ind,near dem",Slghtly conservative,Pretty happy,$6000 to 6999,No,Black,Female,Bachelor,36,Divorced,40,Romney
Working fulltime,Not str democrat,Slghtly conservative,Very happy,Not applicable,No,White,Female,Lt high school,51,Married,54,Not applicable
Working fulltime,Not str democrat,Moderate,Not too happy,$25000 or more,No,White,Male,Lt high school,54,Married,45,Romney
Working fulltime,Independent,Moderate,Very happy,$25000 or more,Yes,White,Male,High school,36,Separated,40,Romney
Keeping house,Independent,Don't know,Not too happy,$15000 - 19999,No,White,Female,Lt high school,44,Separated,Not applicable,Not applicable
Working fulltime,Independent,Slightly liberal,Pretty happy,$5000 to 5999,No,Black,Male,High school,37,Married,72,Not applicable
Working fulltime,Independent,Liberal,Not too happy,$1000 to 2999,No,White,Female,Bachelor,50,Divorced,77,Not applicable
Working fulltime,Strong democrat,Liberal,Very happy,$20000 - 24999,No,Other,Female,Bachelor,25,Married,50,Not applicable
Working fulltime,Independent,No answer,Very happy,$20000 - 24999,No,Other,Male,Lt high school,44,Separated,40,Not applicable
Keeping house,Independent,Liberal,Pretty happy,Not applicable,Yes,White,Female,High school,22,Married,Not applicable,Not applicable
Working fulltime,Strong democrat,Extrmly conservative,Not too happy,$25000 or more,No,White,Female,Lt high school,40,Separated,65,Not applicable
Keeping house,Independent,Extremely liberal,Pretty happy,Not applicable,No,Other,Female,High school,28,Married,Not applicable,Not applicable
Keeping house,Strong democrat,Moderate,Pretty happy,Not applicable,No,White,Female,High school,40,Married,Not applicable,Not applicable
Working fulltime,Not str democrat,Moderate,Pretty happy,$25000 or more,No,Other,Female,High school,59,Married,40,Obama
Keeping house,No answer,No answer,Pretty happy,Not applicable,Yes,White,Female,High school,37,Divorced,Not applicable,No answer
Working fulltime,Strong democrat,Liberal,Very happy,Not applicable,Yes,White,Male,Bachelor,26,Never married,48,Not applicable
Working fulltime,"Ind,near dem",Slightly liberal,Very happy,$25000 or more,Yes,White,Male,Junior college,27,Married,68,Not applicable
Keeping house,Not str democrat,Conservative,Very happy,$15000 - 19999,Yes,White,Female,High school,69,Never married,Not applicable,Obama
Working parttime,Strong republican,Extremely liberal,Not too happy,$5000 to 5999,No,White,Female,High school,53,Never married,10,Not applicable
Retired,Independent,Conservative,Very happy,Not applicable,Yes,Black,Male,High school,52,Divorced,Not applicable,No answer
Working fulltime,Independent,Extremely liberal,Very happy,$25000 or more,Yes,White,Male,High school,42,Divorced,40,Not applicable
Working parttime,Independent,Don't know,Very happy,$1000 to 2999,No,White,Female,Lt high school,60,Married,10,Not applicable
Working fulltime,Strong democrat,Moderate,Pretty happy,$25000 or more,Yes,White,Male,Bachelor,60,Divorced,40,Obama
"Unempl, laid off",Strong democrat,Slightly liberal,Pretty happy,$25000 or more,Yes,Black,Female,Bachelor,59,Divorced,Not applicable,Obama
Retired,Strong democrat,Moderate,Pretty happy,Not applicable,Yes,Other,Male,High school,57,Divorced,Not applicable,Obama
Working parttime,Not str democrat,Moderate,Not too happy,Lt $1000,Yes,Black,Female,High school,30,Never married,25,Obama
Keeping house,Independent,Extremely liberal,Not too happy,$20000 - 24999,Yes,White,Female,Junior college,37,Never married,Not applicable,Obama
Keeping house,"Ind,near dem",Extrmly conservative,Not too happy,$6000 to 6999,No,White,Female,High school,40,Never married,Not applicable,Not applicable
Working fulltime,Strong democrat,Moderate,Pretty happy,$4000 to 4999,No,Black,Male,Junior college,33,Married,40,Not applicable
Temp not working,Strong democrat,Slghtly conservative,Very happy,$25000 or more,Yes,Black,Female,High school,51,Divorced,Not applicable,Obama
Working fulltime,Not str republican,Conservative,Very happy,$25000 or more,Yes,White,Male,Junior college,46,Married,45,Romney
Working fulltime,Not str democrat,Slightly liberal,Very happy,$25000 or more,Yes,Black,Female,Graduate,52,Married,60,Obama
Retired,Strong democrat,Moderate,Pretty happy,Not applicable,Yes,Black,Female,Graduate,No answer,Widowed,Not applicable,Obama
Keeping house,Strong republican,Conservative,Very happy,Not applicable,Yes,White,Female,High school,77,Married,Not applicable,Romney
Working fulltime,Strong republican,Conservative,Very happy,$25000 or more,Yes,White,Female,Bachelor,56,Married,32,Romney
Working fulltime,Not str republican,Conservative,Pretty happy,$25000 or more,Yes,White,Male,High school,25,Married,48,Not applicable
Working fulltime,Not str republican,Slghtly conservative,Pretty happy,$25000 or more,Yes,White,Female,High school,48,Divorced,58,Romney
Retired,Independent,Moderate,Pretty happy,Not applicable,Yes,White,Male,High school,61,Divorced,Not applicable,Not applicable
Keeping house,Not str democrat,Slightly liberal,Pretty happy,Not applicable,Yes,White,Female,High school,19,Never married,Not applicable,Not applicable
Working parttime,"Ind,near dem",Liberal,Very happy,Not applicable,No,Other,Female,Lt high school,36,Married,20,Not applicable
Working parttime,Strong democrat,Extremely liberal,Not too happy,$10000 - 14999,No,Black,Female,Bachelor,28,Never married,30,Not applicable
Working fulltime,"Ind,near dem",Extremely liberal,Pretty happy,$20000 - 24999,Yes,Black,Male,Bachelor,23,Never married,70,Obama
Working fulltime,Not str democrat,Moderate,Pretty happy,$20000 - 24999,Yes,Black,Female,High school,29,Never married,55,Obama
Working fulltime,Independent,Moderate,Pretty happy,$25000 or more,Yes,White,Male,Bachelor,69,Divorced,40,Obama
Working fulltime,Not str democrat,Liberal,Pretty happy,$25000 or more,Yes,Black,Male,Bachelor,35,Never married,40,Obama
Working fulltime,Independent,Slghtly conservative,Pretty happy,$10000 - 14999,Yes,Black,Female,High school,38,Divorced,40,Obama
Working fulltime,Not str democrat,Moderate,Pretty happy,$25000 or more,Yes,Black,Female,Junior college,31,Never married,40,Obama
Working parttime,"Ind,near dem",Conservative,Pretty happy,$15000 - 19999,Yes,Black,Female,High school,42,Never married,33,Obama
Retired,Not str democrat,Liberal,Pretty happy,Not applicable,No,White,Male,Graduate,78,Married,Not applicable,Not applicable
Working parttime,Strong democrat,Extrmly conservative,Pretty happy,$15000 - 19999,No,Other,Female,Lt high school,31,Widowed,16,Not applicable
Other,Not str republican,Slightly liberal,Very happy,Not applicable,No,Other,Female,Lt high school,67,Separated,Not applicable,Not applicable
Working fulltime,Not str republican,Conservative,Pretty happy,$25000 or more,Yes,White,Female,Bachelor,48,Married,40,Romney
Working fulltime,"Ind,near dem",Extremely liberal,Very happy,$25000 or more,Yes,Black,Male,Junior college,68,Married,40,No answer
Working fulltime,Strong democrat,Slghtly conservative,Very happy,$25000 or more,Yes,Black,Male,High school,42,Never married,75,Not applicable
Working fulltime,Strong democrat,Liberal,Very happy,$15000 - 19999,No,White,Female,High school,65,Married,46,Not applicable
Keeping house,"Ind,near dem",Liberal,Pretty happy,Not applicable,Yes,White,Female,High school,44,Divorced,Not applicable,Obama
Retired,Strong republican,Slghtly conservative,Not too happy,Not applicable,Yes,White,Female,High school,77,Widowed,Not applicable,Romney
Working fulltime,Strong republican,Liberal,Pretty happy,$25000 or more,Yes,White,Female,High school,62,Married,40,Romney
Working fulltime,"Ind,near dem",Slightly liberal,Pretty happy,$10000 - 14999,Yes,White,Male,Lt high school,51,Divorced,40,Not applicable
Keeping house,Other party,Moderate,Not too happy,Not applicable,No,Black,Female,High school,21,Never married,Not applicable,Not applicable
Working fulltime,"Ind,near rep",Moderate,Very happy,$25000 or more,Yes,White,Female,Lt high school,28,Divorced,60,Not applicable
School,Strong democrat,Liberal,Very happy,Not applicable,Yes,White,Female,High school,20,Never married,Not applicable,Not applicable
Working parttime,Strong republican,Slghtly conservative,Not too happy,Lt $1000,Yes,White,Female,High school,19,Never married,20,Not applicable
Working fulltime,"Ind,near rep",Conservative,Pretty happy,Not applicable,Yes,White,Female,High school,53,Married,39,Obama
Working fulltime,Strong democrat,Slightly liberal,Pretty happy,$25000 or more,Yes,Black,Female,High school,40,Married,40,Obama
Working fulltime,Independent,Moderate,Pretty happy,$25000 or more,Yes,White,Male,Bachelor,51,Married,60,Obama
Retired,Strong democrat,Slghtly conservative,Not too happy,Not applicable,Yes,Black,Male,High school,65,Divorced,Not applicable,Obama
Working fulltime,Strong democrat,Moderate,Pretty happy,$15000 - 19999,Yes,Black,Female,High school,51,Divorced,24,Obama
Working fulltime,Strong democrat,Moderate,Pretty happy,$25000 or more,Yes,Black,Male,Junior college,60,Married,40,Obama
Working parttime,Strong democrat,Moderate,Pretty happy,$15000 - 19999,Yes,Black,Male,High school,57,Divorced,21,Not applicable
Retired,Strong democrat,Slightly liberal,Not too happy,Not applicable,Yes,White,Female,High school,70,Divorced,Not applicable,Obama
Other,Strong democrat,Slightly liberal,Very happy,Not applicable,Yes,Black,Female,High school,53,Married,Not applicable,Not applicable
Working fulltime,"Ind,near dem",Moderate,Pretty happy,$6000 to 6999,Yes,Black,Female,Bachelor,37,Never married,40,Obama
Working fulltime,Independent,Conservative,Very happy,$25000 or more,Yes,Black,Male,High school,56,Never married,40,Not applicable
Keeping house,Strong democrat,Moderate,Pretty happy,Not applicable,Yes,Black,Female,High school,59,Divorced,Not applicable,Obama
School,Not str democrat,Slightly liberal,Pretty happy,Not applicable,Yes,Black,Female,High school,21,Never married,Not applicable,Not applicable
Working fulltime,Strong democrat,Slghtly conservative,Pretty happy,$25000 or more,Yes,White,Male,Lt high school,59,Never married,55,Not applicable
Retired,Not str republican,Moderate,Very happy,Not applicable,Yes,White,Male,High school,66,Widowed,Not applicable,Romney
Working fulltime,Not str democrat,Moderate,Very happy,$25000 or more,No,White,Male,Junior college,56,Married,50,Not applicable
Working fulltime,Strong democrat,Liberal,Pretty happy,$25000 or more,Yes,Black,Female,High school,56,Married,55,Obama
Working fulltime,Independent,Don't know,Pretty happy,$10000 - 14999,Yes,Black,Female,Junior college,24,Never married,50,Not applicable
Other,"Ind,near dem",Conservative,Very happy,Not applicable,Yes,Black,Female,High school,87,Widowed,Not applicable,Obama
Working fulltime,Not str democrat,Moderate,Pretty happy,Not applicable,Yes,Black,Female,High school,22,Never married,40,Obama
Working fulltime,Independent,Moderate,Not too happy,$25000 or more,No,Black,Male,High school,51,Divorced,80,Not applicable
Working fulltime,Strong democrat,Moderate,Pretty happy,$25000 or more,Yes,Black,Female,High school,56,Married,35,Obama
Working fulltime,No answer,Slghtly conservative,Pretty happy,Not applicable,Yes,Black,Female,Bachelor,47,Married,40,Obama
School,"Ind,near rep",Moderate,Not too happy,Not applicable,Yes,White,Male,Lt high school,18,Never married,Not applicable,Not applicable
"Unempl, laid off",Independent,Moderate,Pretty happy,$5000 to 5999,Yes,White,Female,Lt high school,26,Never married,Not applicable,Not applicable
School,Independent,Slightly liberal,Not too happy,$1000 to 2999,Yes,Black,Female,High school,27,Never married,Not applicable,Obama
Working parttime,Not str republican,Don't know,Very happy,Not applicable,Yes,Other,Male,High school,20,Never married,26,Not applicable
Working fulltime,"Ind,near dem",Slghtly conservative,Pretty happy,$25000 or more,Yes,Black,Female,High school,33,Divorced,80,Not applicable
Working fulltime,"Ind,near dem",Conservative,Very happy,$15000 - 19999,No,White,Female,High school,31,Never married,36,Not applicable
Working parttime,Independent,Moderate,Pretty happy,$25000 or more,Yes,White,Female,Graduate,70,Divorced,27,Romney
Other,"Ind,near dem",Extremely liberal,Pretty happy,Not applicable,Yes,White,Female,Bachelor,51,Never married,Not applicable,Obama
Retired,"Ind,near rep",Moderate,Pretty happy,Not applicable,Yes,White,Female,Bachelor,87,Married,Not applicable,Obama
Working fulltime,Not str republican,Moderate,Pretty happy,Not applicable,Yes,White,Female,Bachelor,54,Divorced,40,Romney
Retired,"Ind,near dem",Liberal,Very happy,Not applicable,Yes,White,Female,High school,81,Married,Not applicable,Obama
Working parttime,Independent,Liberal,Pretty happy,Not applicable,No,Black,Male,Junior college,25,Never married,33,Not applicable
Working fulltime,Independent,Conservative,Very happy,$7000 to 7999,No,Black,Male,High school,47,Married,40,Not applicable
Retired,Independent,Slghtly conservative,Pretty happy,Not applicable,Yes,Black,Male,Bachelor,65,Married,Not applicable,Not applicable
Retired,Not str democrat,Slghtly conservative,Very happy,Not applicable,No,White,Male,Lt high school,75,Married,Not applicable,Not applicable
Working fulltime,Not str republican,Slghtly conservative,Pretty happy,$25000 or more,Yes,White,Male,Bachelor,46,Married,45,Romney
"Unempl, laid off","Ind,near dem",Slightly liberal,Pretty happy,Refused,Yes,White,Male,High school,51,Divorced,Not applicable,No answer
Working fulltime,"Ind,near dem",Moderate,Pretty happy,$25000 or more,Yes,White,Male,Graduate,53,Married,60,Obama
Keeping house,Not str democrat,Moderate,Pretty happy,Not applicable,Yes,White,Female,Bachelor,45,Married,Not applicable,Obama
School,Strong democrat,Slightly liberal,Pretty happy,$1000 to 2999,Yes,White,Female,High school,18,Never married,Not applicable,Not applicable
Working fulltime,Strong democrat,Extremely liberal,Very happy,$25000 or more,No,White,Female,Graduate,52,Married,40,Not applicable
Working fulltime,"Ind,near rep",Moderate,Very happy,Not applicable,Yes,White,Female,Bachelor,56,Divorced,40,Romney
Working fulltime,Not str democrat,Slightly liberal,Very happy,$25000 or more,Yes,White,Male,Bachelor,34,Married,50,Obama
Keeping house,Strong democrat,Conservative,Pretty happy,Not applicable,Yes,Black,Female,Bachelor,58,Never married,Not applicable,Obama
Working fulltime,Strong democrat,Moderate,Pretty happy,$25000 or more,Yes,Black,Male,High school,59,Never married,48,Obama
Retired,Strong democrat,Conservative,Pretty happy,Not applicable,Yes,Black,Female,Graduate,69,Widowed,Not applicable,Obama
Retired,Not str democrat,Liberal,Not too happy,Not applicable,Yes,Black,Female,High school,67,Widowed,Not applicable,Obama
Other,Strong democrat,Moderate,Not too happy,Not applicable,Yes,Black,Female,Bachelor,54,Never married,Not applicable,Obama
Working fulltime,Independent,Conservative,Very happy,$25000 or more,Yes,Black,Male,High school,53,Married,48,Obama
Working fulltime,Strong democrat,Extremely liberal,Pretty happy,$10000 - 14999,Yes,Black,Female,High school,47,Separated,70,Obama
Retired,Not str democrat,Slightly liberal,Pretty happy,$25000 or more,Yes,Black,Male,Bachelor,47,Married,Not applicable,Obama
Keeping house,Strong democrat,Don't know,Not too happy,Not applicable,Yes,Black,Female,Lt high school,63,Widowed,Not applicable,Obama
Working fulltime,Not str democrat,Moderate,Not too happy,$25000 or more,Yes,Black,Female,Bachelor,32,Never married,50,Obama
Working fulltime,Not str democrat,Slightly liberal,Pretty happy,$25000 or more,Yes,White,Female,Bachelor,28,Married,50,Not applicable
"Unempl, laid off",Not str republican,Moderate,Pretty happy,$10000 - 14999,Yes,White,Female,High school,23,Married,Not applicable,Obama
Working fulltime,Not str republican,Conservative,Not too happy,$25000 or more,Yes,White,Female,Bachelor,53,Never married,24,Romney
Working fulltime,"Ind,near rep",Don't know,Not too happy,$4000 to 4999,No,Other,Female,Lt high school,39,Separated,40,Not applicable
Working fulltime,Independent,Don't know,Not too happy,$25000 or more,Yes,Black,Female,High school,38,Never married,62,Obama
Working fulltime,"Ind,near rep",Moderate,Pretty happy,$25000 or more,Yes,White,Male,High school,51,Married,61,5
Working fulltime,Strong democrat,Liberal,Pretty happy,$25000 or more,Yes,White,Female,Bachelor,66,Never married,40,Obama
Working fulltime,Not str republican,Slghtly conservative,Very happy,$25000 or more,Yes,White,Male,Graduate,54,Married,40,Romney
Retired,Strong democrat,Liberal,Pretty happy,Not applicable,Yes,White,Male,High school,68,Married,Not applicable,Obama
Working fulltime,Strong republican,Conservative,Not too happy,Refused,Yes,White,Male,Bachelor,58,Widowed,40,Romney
Working fulltime,Strong republican,Conservative,Pretty happy,Refused,Yes,White,Male,Graduate,47,Married,50,Romney
Working parttime,"Ind,near rep",Slghtly conservative,Very happy,$25000 or more,Yes,White,Female,Graduate,33,Married,25,Romney
Keeping house,Not str republican,Moderate,Very happy,Not applicable,Yes,White,Female,Bachelor,66,Widowed,Not applicable,Romney
Working fulltime,"Ind,near rep",Liberal,Pretty happy,$25000 or more,Yes,White,Male,High school,27,Never married,64,Not applicable
"Unempl, laid off","Ind,near dem",Liberal,Pretty happy,$15000 - 19999,No,White,Male,High school,54,Separated,Not applicable,Obama
"Unempl, laid off",Strong republican,Slightly liberal,Pretty happy,$25000 or more,Yes,White,Male,High school,53,Divorced,Not applicable,Romney
Working fulltime,Independent,Moderate,Pretty happy,$20000 - 24999,Yes,White,Male,Junior college,54,Married,40,Obama
Keeping house,Independent,Moderate,Pretty happy,$6000 to 6999,Yes,White,Female,High school,51,Divorced,Not applicable,Not applicable
Retired,Not str democrat,Slightly liberal,Not too happy,Not applicable,Yes,White,Male,High school,67,Divorced,Not applicable,Obama
Working parttime,Not str republican,Extrmly conservative,Pretty happy,$7000 to 7999,Yes,White,Female,High school,67,Divorced,20,Romney
Retired,"Ind,near dem",Moderate,Not too happy,Not applicable,Yes,White,Female,High school,65,Never married,Not applicable,Obama
Working fulltime,Not str democrat,Slightly liberal,Pretty happy,Refused,Yes,Black,Female,Junior college,23,Never married,40,Not applicable
Working fulltime,Not str democrat,Moderate,Pretty happy,$25000 or more,Yes,Black,Female,High school,27,Never married,40,Obama
Working fulltime,"Ind,near dem",Moderate,Pretty happy,Not applicable,Yes,Black,Male,High school,28,Never married,40,Obama
Working fulltime,"Ind,near dem",Moderate,Pretty happy,$25000 or more,Yes,White,Female,Bachelor,34,Never married,50,Obama
Working fulltime,Independent,Moderate,Pretty happy,$8000 to 9999,Yes,White,Female,Bachelor,27,Never married,32,Not applicable
"Unempl, laid off",Not str democrat,Moderate,Pretty happy,Not applicable,Yes,Black,Male,Lt high school,60,Never married,Not applicable,Not applicable
Working fulltime,"Ind,near dem",Slightly liberal,Not too happy,$25000 or more,Yes,White,Male,Junior college,26,Never married,50,Obama
Keeping house,Strong democrat,Moderate,Pretty happy,Not applicable,Yes,White,Female,High school,74,Widowed,Not applicable,Obama
Working parttime,Independent,Don't know,Very happy,Lt $1000,Yes,White,Female,High school,44,Never married,15,Obama
Working fulltime,Independent,Slightly liberal,Pretty happy,$25000 or more,Yes,White,Male,High school,31,Married,40,Not applicable
Retired,"Ind,near rep",Moderate,Very happy,Not applicable,Yes,White,Male,High school,63,Divorced,Not applicable,Not applicable
Retired,"Ind,near dem",Moderate,Pretty happy,Not applicable,Yes,White,Female,High school,72,Divorced,Not applicable,Don't know
Working fulltime,"Ind,near dem",Liberal,Pretty happy,Not applicable,Yes,White,Male,Bachelor,25,Never married,56,Obama
Working fulltime,Not str democrat,Moderate,Very happy,$25000 or more,Yes,Other,Male,Bachelor,35,Never married,40,Not applicable
Working fulltime,Strong democrat,Slghtly conservative,Very happy,Not applicable,Yes,Black,Male,High school,56,Married,48,Not applicable
School,Not str democrat,Slightly liberal,Pretty happy,Not applicable,No,Other,Female,High school,20,Never married,Not applicable,Not applicable
Retired,Strong democrat,Moderate,Pretty happy,Not applicable,No,Other,Male,High school,75,Widowed,Not applicable,Obama
Working fulltime,Not str republican,Slghtly conservative,Very happy,$25000 or more,No,Other,Female,Bachelor,43,Married,60,Romney
"Unempl, laid off",Not str democrat,Liberal,Pretty happy,$5000 to 5999,Yes,Other,Female,Graduate,28,Never married,Not applicable,Obama
Retired,Independent,Moderate,Pretty happy,Not applicable,Yes,White,Male,Junior college,68,Divorced,Not applicable,Obama
Working fulltime,Strong democrat,Moderate,Pretty happy,$25000 or more,Yes,White,Female,Bachelor,61,Divorced,35,Obama
Working fulltime,"Ind,near dem",Slightly liberal,Not too happy,$25000 or more,Yes,White,Female,High school,46,Never married,40,Not applicable
Working fulltime,Not str democrat,Moderate,Pretty happy,$25000 or more,Yes,White,Male,Graduate,53,Never married,40,Obama
Retired,Strong democrat,Conservative,Not too happy,Not applicable,Yes,White,Female,High school,79,Widowed,Not applicable,Obama
Working fulltime,Not str democrat,Moderate,Pretty happy,$25000 or more,Yes,White,Female,Bachelor,35,Married,45,Not applicable
Retired,"Ind,near rep",Moderate,Pretty happy,Not applicable,Yes,White,Female,Graduate,70,Divorced,Not applicable,No answer
Retired,Not str democrat,Moderate,Not too happy,Not applicable,Yes,White,Female,High school,59,Divorced,Not applicable,Obama
Other,No answer,No answer,No answer,Not applicable,No answer,Black,Male,No answer,54,Never married,Not applicable,No answer
Retired,Independent,Slightly liberal,Pretty happy,Not applicable,Yes,White,Male,Lt high school,47,Never married,Not applicable,Not applicable
Working fulltime,Strong democrat,Moderate,Not too happy,$20000 - 24999,Yes,Black,Female,High school,22,Married,40,Obama
Other,Strong democrat,Slghtly conservative,Pretty happy,Not applicable,Yes,White,Female,Junior college,65,Divorced,Not applicable,Obama
Retired,Not str democrat,Slghtly conservative,Not too happy,Not applicable,Yes,White,Female,Junior college,81,Married,Not applicable,Not applicable
Retired,Independent,Moderate,Pretty happy,Not applicable,Yes,White,Male,Graduate,74,Married,Not applicable,Not applicable
Retired,Strong democrat,Liberal,Very happy,Not applicable,Yes,White,Female,Bachelor,77,Married,Not applicable,Obama
Working parttime,Not str democrat,Moderate,Pretty happy,$25000 or more,Yes,Other,Male,High school,22,Never married,28,Not applicable
Working fulltime,Not str democrat,Moderate,Pretty happy,$15000 - 19999,Yes,White,Male,Graduate,54,Married,40,Obama
Working parttime,Strong democrat,Liberal,Very happy,$25000 or more,No,White,Female,Bachelor,48,Married,16,Obama
Working fulltime,Not str republican,Moderate,Pretty happy,$25000 or more,Yes,White,Male,Bachelor,43,Never married,40,Not applicable
Working fulltime,"Ind,near rep",Slghtly conservative,Pretty happy,$25000 or more,Yes,White,Female,Junior college,27,Never married,45,Romney
Working fulltime,Independent,Moderate,Very happy,Refused,No,Other,Female,Bachelor,30,Married,40,Not applicable
Temp not working,Independent,Slghtly conservative,Pretty happy,Refused,Yes,White,Male,Graduate,52,Married,Not applicable,Obama
Working fulltime,Not str democrat,Slightly liberal,Pretty happy,$6000 to 6999,Yes,White,Female,Junior college,55,Married,40,Obama
Working fulltime,"Ind,near dem",Liberal,Pretty happy,Refused,Yes,White,Male,Bachelor,40,Married,55,Obama
Working parttime,Independent,Moderate,Not too happy,$25000 or more,Yes,White,Male,Junior college,51,Widowed,30,Not applicable
Working fulltime,Not str democrat,Slghtly conservative,Not too happy,$8000 to 9999,Yes,Other,Female,High school,21,Never married,38,Not applicable
Working fulltime,"Ind,near dem",Slghtly conservative,Very happy,$20000 - 24999,Yes,White,Male,High school,29,Never married,36,Not applicable
Retired,Not str democrat,Moderate,Pretty happy,Not applicable,Yes,White,Female,High school,83,Widowed,Not applicable,Obama
Retired,Not str democrat,Slightly liberal,Pretty happy,Not applicable,Yes,White,Female,High school,81,Widowed,Not applicable,Obama
Retired,Strong democrat,Moderate,Very happy,Not applicable,Yes,Black,Female,Graduate,66,Widowed,Not applicable,Obama
Retired,"Ind,near rep",Slghtly conservative,Pretty happy,Not applicable,Yes,White,Male,Bachelor,72,Divorced,Not applicable,Romney
Retired,Strong democrat,Conservative,Not too happy,Not applicable,Yes,White,Female,High school,78,Divorced,Not applicable,Obama
Retired,Not str democrat,Slightly liberal,Very happy,Not applicable,Yes,Other,Male,High school,80,Divorced,Not applicable,Obama
Keeping house,Strong republican,Conservative,Pretty happy,Not applicable,Yes,White,Female,High school,60,Married,Not applicable,Romney
